id,Aerial Duels won,Age,Assists,Attacking options created,Attempted Passes,Blocks,Clearances,Country,Expected Goal Contributions,Interceptions,Open Play Goals,Open Play Expected Goals,Percentage of Passes Completed,Progressive Passes Rec,Progressive Passes,Progressive Carries,Shots,Successful Dribbles,Touches in attacking penalty area,Tackles,Value at beginning of 2020/21 season,Value at beginning of 2021/22 season,Value at beginning of 2022/23 season,Value at beginning of 2023/24 season
429,1.5,24,0.04,1.79,54.6,0.83,3.48,8,0.04,0.9,0.08,0.1,79.3,5.41,4.11,2.45,0.99,0.67,2.49,2.84,0.15,14.0,14.0,12.0
1179,1.2,22,0.07,1.24,47.5,1.84,1.98,42,0.05,1.4,0.0,0.01,83.1,3.16,3.67,1.54,0.07,0.66,0.59,1.47,0.35,0.5,0.6,0.8
1263,0.5,24,0.32,3.22,34.0,0.32,1.27,49,0.27,0.2,0.11,0.12,69.5,9.21,2.96,2.65,1.48,0.74,3.49,0.64,0.4,0.0,2.0,3.5
208,1.2,26,0.07,1.98,25.3,0.59,0.33,61,0.1,0.1,0.26,0.24,75.1,5.42,2.09,1.89,1.63,0.88,3.85,0.29,10.0,10.0,9.0,9.0
1121,0.8,26,0.0,0.51,45.6,1.34,2.84,6,0.0,1.4,0.04,0.05,88.5,0.53,3.73,1.34,0.57,0.2,0.57,1.62,11.0,7.0,5.5,2.5
1331,0.8,23,0.32,5.05,54.3,1.13,0.49,21,0.26,0.4,0.49,0.32,81.5,13.42,4.45,3.27,2.22,1.9,6.27,0.85,60.0,85.0,90.0,110.0
544,0.9,36,0.06,1.47,67.1,1.04,2.07,12,0.02,1.8,0.0,0.01,89.5,0.3,3.53,0.06,0.12,0.24,0.0,1.52,1.5,1.0,1.0,0.8
58,0.6,22,0.17,2.24,41.4,1.09,2.3,37,0.08,0.8,0.12,0.18,76.5,3.68,2.13,3.11,0.92,1.61,1.32,1.44,0.2,1.0,4.0,6.0
1438,1.5,33,0.2,2.03,34.4,1.42,1.82,53,0.16,1.9,0.0,0.06,68.4,5.78,1.42,3.45,0.91,1.22,2.13,3.04,0.4,0.2,0.075,15.0
1352,2.1,27,0.14,2.75,33.9,0.9,0.69,13,0.19,0.1,0.07,0.29,71.1,7.72,2.55,2.0,2.07,1.17,5.24,1.86,10.0,17.0,20.0,9.0
1295,0.8,23,0.32,3.33,55.0,1.58,1.58,57,0.23,1.3,0.0,0.12,72.0,7.13,2.54,4.6,1.58,0.95,1.74,1.58,0.6,2.5,2.0,1.2
932,5.7,23,0.0,0.77,80.9,1.02,4.53,49,0.0,1.2,0.15,0.03,86.6,0.15,4.97,1.02,0.58,0.0,0.58,1.02,2.5,3.0,4.0,7.0
1346,0.4,28,0.1,4.11,58.1,1.21,1.33,52,0.24,1.3,0.06,0.07,74.6,7.53,4.19,1.62,0.89,0.41,1.81,2.45,2.0,7.0,8.0,9.0
363,0.0,26,0.0,0.78,38.6,0.89,1.78,63,0.01,1.1,0.15,0.05,88.9,1.18,1.78,2.22,0.44,0.74,0.59,2.37,40.0,27.0,27.0,18.0
984,2.6,21,0.08,2.33,61.2,1.15,1.97,23,0.1,2.3,0.0,0.08,83.2,0.82,7.65,0.74,0.74,0.41,1.07,3.46,3.5,6.0,7.0,7.0
354,6.8,28,0.08,2.47,21.9,0.55,1.25,26,0.14,0.1,0.39,0.34,56.8,4.85,1.64,0.78,2.58,0.39,5.08,0.16,5.0,1.8,1.8,2.5
427,1.5,22,0.0,0.63,44.5,1.52,2.83,5,0.02,1.4,0.0,0.01,79.1,0.38,2.5,1.03,0.16,0.16,0.27,2.99,2.0,3.0,3.0,3.0
963,1.3,32,0.0,0.48,54.9,1.22,2.52,37,0.02,1.0,0.08,0.05,87.9,0.5,2.41,0.46,0.38,0.04,0.46,0.99,2.0,1.2,1.0,1.5
1368,1.6,26,0.05,1.69,47.9,1.47,2.8,18,0.05,1.7,0.14,0.05,70.9,3.21,4.09,0.69,0.6,0.32,1.06,2.85,0.05,0.05,0.0,13.0
1545,0.6,27,0.0,1.82,60.1,1.41,1.27,47,0.06,1.6,0.06,0.06,85.3,0.87,6.66,0.89,0.69,0.46,0.58,2.74,0.7,1.2,1.8,6.0
1654,1.3,26,0.0,0.67,48.2,1.72,2.57,48,0.01,2.1,0.0,0.01,83.9,0.38,2.73,0.59,0.38,0.54,0.27,3.27,45.0,60.0,60.0,25.0
1043,1.5,26,0.21,2.48,20.1,0.72,0.79,23,0.2,0.2,0.47,0.66,74.0,6.09,1.65,2.69,3.29,1.47,6.27,0.5,80.0,85.0,70.0,32.0
1467,0.7,27,0.06,2.19,46.5,0.89,0.68,67,0.05,0.9,0.0,0.1,86.0,1.54,5.75,1.6,0.83,0.71,1.23,2.31,2.2,1.0,1.5,5.0
292,0.3,25,0.17,3.23,58.9,0.5,0.73,35,0.15,0.6,0.0,0.03,81.1,1.29,6.38,1.57,0.9,0.9,0.34,1.23,0.45,0.5,0.75,1.0
1142,0.2,29,0.07,3.3,35.5,0.9,0.61,50,0.13,0.4,0.4,0.33,82.6,9.54,4.48,2.78,2.49,1.23,4.99,1.66,16.0,16.0,16.0,32.0
1370,1.3,28,0.0,2.35,17.3,0.45,0.67,61,0.06,0.0,0.34,0.44,73.5,5.7,2.01,1.45,4.58,1.9,4.81,0.34,40.0,22.0,18.0,8.0
952,1.6,24,0.09,0.75,51.4,1.15,4.46,21,0.02,1.2,0.0,0.01,80.2,0.44,2.07,0.62,0.13,0.04,0.4,1.46,7.0,10.0,12.0,18.0
118,0.3,28,0.05,3.95,32.2,1.32,0.31,3,0.22,0.5,0.46,0.46,78.5,8.64,3.66,2.59,2.64,1.37,7.17,0.71,40.0,40.0,45.0,30.0
1202,1.8,27,0.0,0.83,43.1,1.47,4.46,45,0.03,1.1,0.11,0.14,78.5,0.23,1.41,0.11,0.68,0.23,1.3,1.52,4.0,2.0,2.0,35.0
1657,0.2,30,0.08,3.76,25.6,0.83,0.35,67,0.12,0.6,0.28,0.21,77.2,9.36,2.95,3.38,2.52,2.16,5.63,1.26,50.0,40.0,38.0,22.0
233,4.1,27,0.0,0.36,52.6,1.53,5.1,65,0.02,1.2,0.17,0.08,78.0,0.0,2.04,0.85,0.85,0.17,1.19,2.38,40.0,45.0,40.0,15.0
614,0.4,28,0.17,3.93,32.4,1.65,0.39,43,0.24,0.8,0.13,0.29,74.1,10.6,2.65,4.78,2.3,2.13,4.69,1.48,38.0,40.0,35.0,25.0
1486,2.4,24,0.0,0.35,57.6,1.26,3.87,6,0.0,1.5,0.05,0.02,86.1,0.28,3.97,0.28,0.19,0.09,0.75,1.35,13.0,13.0,10.0,8.5
196,2.2,27,0.03,1.66,88.6,1.34,3.07,23,0.09,1.8,0.18,0.12,88.7,2.53,7.59,1.31,1.19,0.03,1.7,2.44,45.0,30.0,30.0,40.0
846,0.6,21,0.26,4.07,28.5,1.07,0.2,26,0.27,0.5,0.41,0.35,73.8,8.27,2.86,3.68,2.45,2.25,4.44,0.87,9.0,35.0,35.0,40.0
1023,1.5,23,0.0,0.82,59.7,1.22,3.62,21,0.01,1.3,0.03,0.05,85.3,0.08,2.87,0.46,0.38,0.38,0.76,1.41,5.0,2.5,2.5,35.0
1423,0.6,25,0.09,2.33,61.2,0.96,2.1,8,0.09,1.1,0.0,0.02,80.7,3.45,5.56,3.3,0.45,0.69,0.93,1.11,7.0,6.0,6.0,5.5
81,0.8,24,0.06,3.48,57.5,0.81,0.31,3,0.14,0.7,0.12,0.26,86.0,2.4,5.43,2.15,2.49,1.31,1.96,2.18,11.0,10.0,16.0,65.0
1593,1.5,27,0.08,1.48,50.8,1.38,3.04,6,0.08,1.2,0.06,0.07,80.1,4.12,2.93,1.08,0.53,0.3,1.44,2.41,24.0,28.0,28.0,25.0
1529,0.3,28,0.02,2.14,66.4,0.82,0.43,59,0.03,0.6,0.02,0.02,93.6,1.13,4.89,1.45,0.32,0.54,0.32,2.36,14.0,10.0,15.0,40.0
1308,1.7,26,0.0,1.27,64.2,1.06,4.3,61,0.03,0.4,0.03,0.08,85.1,0.35,5.81,2.24,0.35,0.77,0.94,1.27,40.0,50.0,50.0,45.0
888,0.8,27,0.28,5.65,50.6,1.34,0.37,23,0.35,0.2,0.42,0.29,79.1,18.26,4.68,6.21,2.92,2.97,5.98,1.02,40.0,55.0,60.0,65.0
380,1.5,28,0.08,2.24,18.3,0.61,1.22,6,0.12,0.0,0.15,0.24,67.1,6.71,1.68,2.21,2.67,1.3,4.34,0.76,16.0,12.0,12.0,6.0
111,0.3,27,0.2,4.15,35.7,0.7,0.27,8,0.18,0.2,0.1,0.25,65.6,4.45,4.05,1.77,2.04,0.57,2.21,0.6,24.0,35.0,35.0,18.0
1441,2.0,26,0.0,0.81,89.8,1.03,2.39,53,0.02,0.8,0.03,0.1,93.3,0.15,4.08,0.68,0.68,0.32,1.15,1.39,60.0,75.0,75.0,80.0
1283,1.0,28,0.0,1.77,41.3,2.11,1.06,61,0.03,1.6,0.0,0.02,81.6,0.6,4.68,0.74,0.46,0.25,0.6,3.24,2.5,1.8,1.8,5.0
1431,0.3,19,0.0,1.74,40.4,1.9,0.93,6,0.02,1.4,0.04,0.02,86.2,0.57,4.13,0.89,0.49,1.13,0.04,2.43,0.0,1.0,2.0,32.0
560,1.9,31,0.0,0.89,52.4,1.17,3.28,37,0.02,1.0,0.04,0.06,85.8,0.16,4.09,0.45,0.32,0.0,0.57,0.93,10.0,10.0,7.0,2.0
1429,1.1,23,0.18,3.05,44.4,1.24,0.71,5,0.13,0.4,0.06,0.1,74.8,4.97,4.44,2.01,1.07,0.95,2.01,1.42,2.0,3.0,3.5,4.5
925,0.4,29,0.12,3.99,70.7,0.99,1.52,3,0.17,1.4,0.06,0.06,88.0,0.94,6.78,1.29,1.23,0.47,0.23,2.1,20.0,20.0,17.0,12.0
1652,0.7,28,0.0,3.37,27.3,0.56,0.28,23,0.14,0.1,0.7,0.52,79.5,9.36,3.63,2.66,3.77,2.38,5.73,0.56,2.5,2.5,2.5,2.0
1284,1.7,21,0.0,0.18,62.7,0.69,2.59,31,0.0,2.0,0.0,0.03,90.9,0.0,2.76,0.52,0.17,0.35,0.17,1.73,0.2,1.0,1.3,1.5
1221,0.0,31,0.24,3.96,26.5,0.0,0.49,37,0.13,0.0,0.49,0.38,73.9,8.76,1.58,2.07,2.68,0.49,3.53,1.46,5.0,3.0,2.0,1.5
310,0.7,27,0.18,3.19,47.5,1.22,0.73,39,0.13,0.8,0.24,0.33,80.4,4.29,5.9,1.95,1.61,0.64,2.67,2.07,16.0,22.0,22.0,27.0
754,0.6,23,0.21,3.14,33.5,1.9,0.6,21,0.23,0.9,0.11,0.28,81.7,5.35,4.26,3.41,2.04,1.3,4.01,1.79,16.0,22.0,22.0,38.0
1128,1.2,22,0.0,1.16,55.2,1.28,1.47,23,0.03,2.4,0.0,0.02,79.8,4.62,3.52,2.24,0.26,0.84,0.95,3.52,4.0,9.0,9.0,7.0
555,2.4,32,0.0,0.69,46.3,1.3,4.35,3,0.01,1.8,0.0,0.05,86.0,0.09,1.81,0.27,0.45,0.21,0.76,1.36,13.0,5.0,5.0,5.0
1164,2.5,24,0.05,1.2,54.6,2.55,5.57,27,0.03,1.5,0.0,0.08,73.5,0.18,3.74,0.23,0.87,0.32,1.14,2.33,12.0,10.0,15.0,18.0
1270,2.0,27,0.17,2.38,16.3,0.6,1.12,21,0.12,0.3,0.4,0.48,69.1,5.64,1.12,1.44,2.42,0.52,4.72,0.55,30.0,35.0,35.0,40.0
451,2.1,23,0.31,1.86,24.0,0.31,0.42,49,0.2,0.0,0.1,0.07,71.4,6.34,2.18,1.14,0.73,0.21,2.39,1.14,0.2,0.6,4.0,3.5
1303,0.4,28,0.16,2.3,43.6,0.78,1.05,37,0.19,0.2,0.2,0.18,79.5,5.49,2.97,2.19,1.63,0.59,1.67,1.01,0.8,1.4,1.6,5.0
1453,0.3,28,0.17,3.3,45.3,1.1,0.42,57,0.17,0.6,0.08,0.14,80.1,6.62,4.84,1.95,0.76,1.36,1.78,1.61,3.5,2.5,2.0,1.2
1259,2.7,25,0.06,0.85,45.6,1.68,3.79,26,0.02,1.9,0.0,0.02,76.0,0.31,3.23,0.74,0.25,0.31,0.74,1.86,12.0,16.0,12.0,8.5
287,2.4,23,0.0,0.29,37.2,1.28,3.46,23,0.01,1.3,0.05,0.05,76.9,0.14,2.89,0.14,0.57,0.05,0.76,1.18,0.45,0.5,0.6,1.8
678,0.6,22,0.24,2.91,30.4,1.64,1.16,21,0.18,0.8,0.2,0.19,81.9,4.06,3.35,3.21,1.13,1.06,2.9,2.36,1.5,15.0,22.0,42.0
1688,3.1,26,0.03,1.73,12.6,0.27,0.93,45,0.08,0.2,0.48,0.48,65.3,3.71,0.58,0.79,3.26,0.31,5.46,1.0,12.0,40.0,35.0,20.0
1163,1.7,35,0.0,1.23,46.8,1.17,2.56,14,0.05,2.5,0.0,0.01,72.9,3.04,3.33,1.76,0.18,0.4,0.18,2.64,0.3,0.3,0.3,0.2
682,2.9,24,0.07,0.72,45.6,1.35,5.44,60,0.05,1.0,0.1,0.08,84.7,0.23,2.18,0.1,0.66,0.07,1.32,1.29,2.5,3.5,3.5,10.0
1133,6.1,30,0.18,0.96,40.3,1.1,5.03,21,0.06,1.3,0.09,0.14,69.2,0.37,2.83,0.18,1.28,0.37,2.19,0.64,28.0,25.0,22.0,10.0
806,0.5,28,0.22,4.57,86.5,1.34,1.14,26,0.26,1.6,0.1,0.07,84.9,1.52,9.87,1.24,1.19,0.4,0.6,2.41,85.0,85.0,80.0,75.0
494,2.2,22,0.25,2.57,34.6,1.27,1.52,26,0.17,1.3,0.15,0.15,75.6,2.65,4.22,1.13,1.81,1.27,1.96,2.01,0.45,0.7,1.0,15.0
1633,0.2,26,0.07,2.01,38.8,0.84,1.14,23,0.06,0.7,0.0,0.09,79.2,2.13,5.25,2.42,1.36,1.65,1.03,2.02,0.4,0.5,0.6,2.5
845,0.7,26,0.19,4.4,37.9,0.97,0.39,39,0.27,0.7,0.27,0.35,79.8,10.09,3.49,5.55,2.02,2.25,6.87,1.71,0.0,1.8,2.5,32.0
707,1.1,30,0.07,1.95,27.0,2.32,1.79,67,0.08,0.9,0.07,0.11,74.4,2.46,2.59,1.26,0.93,2.06,1.59,3.52,3.5,3.2,2.0,1.5
1214,0.3,32,0.13,4.16,55.0,1.72,0.26,23,0.3,1.1,0.0,0.15,80.3,6.07,5.94,3.7,1.32,1.72,2.38,2.51,128.0,90.0,75.0,15.0
1009,0.7,19,0.0,3.97,33.2,0.52,0.0,21,0.13,0.9,0.0,0.17,62.7,9.1,2.58,3.09,2.23,4.64,3.61,2.58,3.5,6.0,6.0,3.0
1230,1.3,35,0.0,0.41,47.0,1.41,4.97,23,0.01,1.5,0.03,0.05,83.3,0.1,3.34,0.29,0.36,0.26,0.49,2.81,2.5,1.2,1.5,0.9
1385,1.7,20,0.0,0.89,44.8,2.82,4.08,53,0.03,1.0,0.0,0.03,66.0,0.85,1.97,1.55,1.13,1.41,0.99,1.27,0.0,0.0,0.0,1.0
973,3.2,27,0.04,1.22,63.2,1.7,3.23,3,0.02,2.0,0.04,0.11,81.7,0.25,4.93,0.79,1.12,0.5,1.45,3.32,10.0,15.0,12.0,10.0
327,1.5,24,0.0,0.67,54.6,1.02,3.41,61,0.03,0.9,0.04,0.06,80.8,0.19,4.7,0.95,0.49,0.15,0.98,2.16,0.6,7.5,12.0,14.0
254,1.6,33,0.0,1.8,68.1,1.56,3.02,61,0.08,1.1,0.0,0.02,83.4,4.83,4.33,1.36,0.45,0.4,1.36,2.52,17.0,11.0,9.0,5.0
1566,1.1,25,0.1,2.93,55.3,0.99,1.36,23,0.13,0.7,0.07,0.1,80.4,4.46,4.21,3.37,1.48,0.63,1.99,1.7,50.0,48.0,55.0,60.0
1356,0.3,28,0.14,3.3,34.1,0.71,0.25,21,0.2,0.1,0.32,0.29,75.9,9.1,3.39,3.71,1.79,1.54,5.53,0.93,110.0,85.0,70.0,55.0
471,0.8,20,0.11,3.11,36.5,1.43,0.82,37,0.09,0.3,0.0,0.17,71.2,5.81,4.44,2.3,1.37,1.21,3.18,1.65,0.0,0.8,5.0,15.0
322,0.1,25,0.11,1.73,24.8,0.99,0.77,71,0.13,0.3,0.22,0.25,63.7,6.26,1.98,3.3,1.87,0.66,3.85,1.65,16.0,18.0,18.0,12.0
1237,0.5,21,0.1,2.84,70.7,1.02,0.87,37,0.12,2.1,0.05,0.08,88.5,1.07,5.09,1.38,1.17,0.41,0.51,2.34,4.0,10.0,10.0,18.0
1052,1.2,28,0.0,4.86,42.2,0.51,0.51,16,0.08,0.5,0.0,0.14,79.3,5.66,3.09,3.77,2.57,3.94,2.91,0.69,6.5,5.0,6.5,1.7
922,1.2,28,0.0,1.25,37.8,2.07,1.58,6,0.05,1.9,0.0,0.08,87.2,0.49,2.37,0.2,0.49,0.4,1.19,2.27,32.0,30.0,28.0,15.0
1421,2.0,24,0.0,1.02,50.2,1.15,3.29,8,0.02,2.3,0.07,0.12,87.7,0.23,2.35,0.74,0.85,0.35,1.06,2.0,20.0,25.0,23.0,30.0
1236,0.1,22,0.18,2.52,37.3,1.18,0.36,37,0.09,0.6,0.14,0.09,84.5,3.58,3.72,1.36,0.77,0.64,1.04,1.77,0.9,3.5,4.0,35.0
177,2.4,29,0.0,1.54,86.4,0.7,2.38,61,0.02,0.4,0.0,0.05,92.7,0.77,7.0,2.59,0.7,0.14,0.91,0.77,60.0,45.0,45.0,25.0
704,1.0,23,0.0,1.4,53.1,1.67,2.22,10,0.04,2.1,0.0,0.05,86.2,2.0,3.22,1.33,0.89,0.78,1.0,3.11,0.5,4.0,5.0,6.0
1105,0.5,28,0.2,3.13,35.7,1.14,0.32,37,0.15,0.7,0.26,0.2,80.1,9.54,2.89,4.0,1.78,2.01,4.06,1.34,1.5,2.0,2.0,30.0
86,0.7,27,0.17,2.26,45.9,1.05,1.71,61,0.12,1.0,0.0,0.08,77.0,7.99,1.71,3.75,1.43,1.16,2.59,1.93,10.0,17.0,18.0,15.0
1198,1.0,23,0.0,1.45,29.4,1.26,0.46,23,0.08,0.4,0.11,0.1,74.6,8.03,2.18,2.75,1.49,0.92,3.1,1.61,2.0,8.0,10.0,5.0
1611,1.6,24,0.0,0.86,50.8,1.46,4.66,53,0.03,1.0,0.09,0.05,82.9,2.1,2.47,0.37,0.46,0.82,1.37,1.37,0.0,0.7,1.0,6.0
1005,0.3,26,0.0,2.22,34.1,1.57,2.01,18,0.04,1.0,0.0,0.02,68.0,2.5,2.25,1.71,0.44,0.83,0.64,2.15,12.0,4.5,4.0,3.5
54,0.4,27,0.22,3.53,35.4,0.47,0.22,55,0.19,0.1,0.17,0.14,79.5,4.52,4.27,2.02,1.72,0.65,1.81,0.47,18.0,11.0,10.0,12.0
1683,1.8,30,0.0,0.79,49.5,1.16,4.22,67,0.01,1.4,0.03,0.05,82.3,0.31,4.12,0.82,0.48,0.2,0.68,1.73,1.2,1.8,2.0,2.0
221,1.6,26,0.17,3.08,21.4,0.67,0.5,63,0.17,0.2,0.54,0.44,68.5,7.57,2.59,1.34,2.17,1.38,5.27,0.79,16.0,16.0,14.0,20.0
113,2.2,31,0.02,0.87,49.5,1.56,5.05,8,0.05,2.1,0.02,0.06,82.2,0.17,3.81,0.44,0.76,0.07,0.88,3.32,5.0,3.5,4.0,4.0
727,0.2,21,0.18,6.06,36.0,0.65,0.12,6,0.44,0.3,0.35,0.19,82.0,10.71,4.71,6.95,1.88,6.59,6.12,1.65,20.0,25.0,22.0,28.0
1053,2.3,29,0.0,0.42,58.2,0.73,2.83,8,0.02,1.1,0.0,0.01,92.3,0.68,3.56,1.07,0.28,0.11,0.62,1.98,10.0,6.0,6.0,6.0
741,0.7,23,0.13,4.01,34.1,0.22,0.13,53,0.12,0.2,0.35,0.47,75.9,6.97,4.12,3.11,4.04,1.89,3.95,1.23,100.0,60.0,70.0,50.0
174,2.5,25,0.09,0.92,54.5,1.3,2.85,23,0.03,1.9,0.11,0.09,83.3,0.55,5.8,1.7,0.77,0.57,1.43,0.77,15.0,18.0,15.0,30.0
583,1.6,25,0.07,2.65,43.5,1.4,0.56,17,0.04,0.6,0.14,0.15,74.1,4.13,3.99,1.89,2.1,0.91,1.75,2.73,0.75,1.0,1.5,1.8
1330,0.2,27,0.06,3.02,60.5,1.0,3.24,60,0.06,0.7,0.0,0.02,79.8,3.0,5.35,2.94,0.59,0.76,0.88,2.47,0.85,2.5,3.0,2.3
18,0.9,30,0.06,1.38,60.4,0.61,2.09,44,0.05,1.1,0.0,0.02,86.3,1.57,3.78,1.25,0.52,0.35,0.58,1.37,7.0,9.0,7.5,8.0
423,3.8,22,0.16,2.1,20.4,0.56,0.88,21,0.18,0.2,0.56,0.44,64.3,5.83,1.36,1.92,2.56,0.48,4.63,0.32,0.0,0.3,0.6,4.0
1246,0.8,25,0.2,3.98,32.4,0.82,0.46,16,0.15,0.3,0.17,0.16,79.0,6.93,3.5,2.8,1.75,0.99,3.83,1.06,30.0,27.0,25.0,17.0
285,1.8,21,0.0,0.35,53.5,0.98,4.42,10,0.02,0.8,0.08,0.11,92.2,0.0,3.35,0.49,0.49,0.16,0.74,1.31,0.15,2.0,3.0,6.0
1351,2.5,26,0.0,1.35,18.2,0.35,0.94,61,0.06,0.4,0.41,0.52,66.6,3.99,0.76,0.88,3.46,0.0,4.75,0.47,6.0,16.0,16.0,10.0
428,0.4,24,0.1,3.19,40.7,0.55,1.42,37,0.16,0.7,0.06,0.08,59.9,5.11,2.91,3.59,1.29,0.58,1.81,1.75,0.25,1.3,1.8,3.5
1287,0.7,20,0.12,2.72,56.3,1.48,0.74,61,0.1,1.1,0.0,0.07,82.1,3.33,6.41,2.1,1.48,1.97,1.48,2.34,0.0,0.0,0.1,5.0
843,0.7,21,0.18,3.71,28.6,1.16,0.55,27,0.13,0.8,0.18,0.23,74.6,8.96,3.47,3.35,2.62,3.47,4.51,1.52,3.0,20.0,18.0,22.0
31,0.8,29,0.0,1.65,32.4,1.51,1.63,10,0.03,1.1,0.0,0.03,76.5,1.72,3.06,0.95,0.36,0.77,0.62,1.51,6.0,7.0,10.0,6.0
1651,2.4,22,0.0,1.07,62.7,1.02,2.4,23,0.01,1.7,0.1,0.07,88.7,0.92,3.07,2.2,0.51,0.61,0.82,2.51,27.0,40.0,40.0,55.0
780,2.2,35,0.0,0.36,67.6,1.28,4.37,67,0.0,1.6,0.0,0.02,87.5,0.0,3.0,0.51,0.09,0.0,0.17,1.11,10.0,5.0,4.0,2.0
214,0.3,24,0.25,4.41,32.1,0.57,0.21,61,0.24,0.5,0.25,0.3,80.6,5.31,4.91,3.42,1.64,1.99,2.81,1.39,14.0,25.0,22.0,20.0
1417,2.3,29,0.03,0.63,42.1,1.31,5.79,8,0.02,0.9,0.0,0.03,81.2,0.11,1.48,0.17,0.54,0.14,0.86,0.86,2.3,1.5,2.0,3.0
326,0.3,27,0.0,3.69,33.7,0.97,0.3,53,0.14,0.4,0.3,0.23,67.1,7.52,4.83,2.19,2.19,1.22,3.56,1.37,25.0,22.0,20.0,20.0
901,1.9,24,0.14,3.42,34.7,1.34,0.45,57,0.17,0.8,0.17,0.23,75.0,10.4,3.88,3.26,1.89,1.41,3.74,1.13,20.0,15.0,13.0,15.0
557,0.7,33,0.05,3.85,43.1,0.66,0.24,37,0.16,0.8,0.24,0.23,82.3,4.29,4.8,3.01,2.31,1.08,3.25,1.65,5.0,4.0,3.0,2.5
1018,0.7,31,0.11,1.94,58.0,0.98,0.43,61,0.13,0.6,0.0,0.05,89.0,2.39,8.26,1.3,0.87,0.22,0.76,2.17,7.0,18.0,18.0,4.0
341,0.2,32,0.2,2.82,33.6,0.56,0.76,58,0.28,0.7,0.16,0.16,61.8,6.7,3.25,2.89,1.73,0.76,2.69,0.96,5.0,4.0,4.0,2.5
147,1.4,30,0.0,0.64,58.8,0.87,2.91,26,0.01,0.8,0.06,0.07,91.8,0.29,2.15,0.7,0.81,0.09,0.9,0.81,25.0,35.0,40.0,32.0
